mandala_sukta_rik	ashtaka_adhyaya_varga_rik	mandala_anuvaka_rik
01.040.01	1.3.20.01	01.08.061
01.040.02	1.3.20.02	01.08.062
01.040.03	1.3.20.03	01.08.063
01.040.04	1.3.20.04	01.08.064
01.040.05	1.3.20.05	01.08.065
01.040.06	1.3.21.01	01.08.066
01.040.07	1.3.21.02	01.08.067
01.040.08	1.3.21.03	01.08.068
01.041.01	1.3.22.01	01.08.069
01.041.02	1.3.22.02	01.08.070
01.041.03	1.3.22.03	01.08.071
01.041.04	1.3.22.04	01.08.072
01.041.05	1.3.22.05	01.08.073
01.041.06	1.3.23.01	01.08.074
01.041.07	1.3.23.02	01.08.075
01.041.08	1.3.23.03	01.08.076
01.041.09	1.3.23.04	01.08.077
01.042.01	1.3.24.01	01.08.078
01.042.02	1.3.24.02	01.08.079
01.042.03	1.3.24.03	01.08.080
01.042.04	1.3.24.04	01.08.081
01.042.05	1.3.24.05	01.08.082
01.042.06	1.3.25.01	01.08.083
01.042.07	1.3.25.02	01.08.084
01.042.08	1.3.25.03	01.08.085
01.042.09	1.3.25.04	01.08.086
01.042.10	1.3.25.05	01.08.087
01.043.01	1.3.26.01	01.08.088
01.043.02	1.3.26.02	01.08.089
01.043.03	1.3.26.03	01.08.090
01.043.04	1.3.26.04	01.08.091
01.043.05	1.3.26.05	01.08.092
01.043.06	1.3.27.01	01.08.093
01.043.07	1.3.27.02	01.08.094
01.043.08	1.3.27.03	01.08.095
01.043.09	1.3.27.04	01.08.096
01.044.01	1.3.28.01	01.09.001
01.044.02	1.3.28.02	01.09.002
01.044.03	1.3.28.03	01.09.003
01.044.04	1.3.28.04	01.09.004
01.044.05	1.3.28.05	01.09.005
01.044.06	1.3.29.01	01.09.006
01.044.07	1.3.29.02	01.09.007
01.044.08	1.3.29.03	01.09.008
01.044.09	1.3.29.04	01.09.009
01.044.10	1.3.29.05	01.09.010
01.044.11	1.3.30.01	01.09.011
01.044.12	1.3.30.02	01.09.012
01.044.13	1.3.30.03	01.09.013
01.044.14	1.3.30.04	01.09.014
01.045.01	1.3.31.01	01.09.015
01.045.02	1.3.31.02	01.09.016
01.045.03	1.3.31.03	01.09.017
01.045.04	1.3.31.04	01.09.018
01.045.05	1.3.31.05	01.09.019
01.045.06	1.3.32.01	01.09.020
01.045.07	1.3.32.02	01.09.021
01.045.08	1.3.32.03	01.09.022
01.045.09	1.3.32.04	01.09.023
01.045.10	1.3.32.05	01.09.024
01.046.01	1.3.33.01	01.09.025
01.046.02	1.3.33.02	01.09.026
01.046.03	1.3.33.03	01.09.027
01.046.04	1.3.33.04	01.09.028
01.046.05	1.3.33.05	01.09.029
01.046.06	1.3.34.01	01.09.030
01.046.07	1.3.34.02	01.09.031
01.046.08	1.3.34.03	01.09.032
01.046.09	1.3.34.04	01.09.033
01.046.10	1.3.34.05	01.09.034
01.046.11	1.3.35.01	01.09.035
01.046.12	1.3.35.02	01.09.036
01.046.13	1.3.35.03	01.09.037
01.046.14	1.3.35.04	01.09.038
01.046.15	1.3.35.05	01.09.039
01.047.01	1.4.01.01	01.09.040
01.047.02	1.4.01.02	01.09.041
01.047.03	1.4.01.03	01.09.042
01.047.04	1.4.01.04	01.09.043
01.047.05	1.4.01.05	01.09.044
01.047.06	1.4.02.01	01.09.045
01.047.07	1.4.02.02	01.09.046
01.047.08	1.4.02.03	01.09.047
01.047.09	1.4.02.04	01.09.048
01.047.10	1.4.02.05	01.09.049
01.048.01	1.4.03.01	01.09.050
01.048.02	1.4.03.02	01.09.051
01.048.03	1.4.03.03	01.09.052
01.048.04	1.4.03.04	01.09.053
01.048.05	1.4.03.05	01.09.054
01.048.06	1.4.04.01	01.09.055
01.048.07	1.4.04.02	01.09.056
01.048.08	1.4.04.03	01.09.057
01.048.09	1.4.04.04	01.09.058
01.048.10	1.4.04.05	01.09.059
01.048.11	1.4.05.01	01.09.060
01.048.12	1.4.05.02	01.09.061
01.048.13	1.4.05.03	01.09.062
01.048.14	1.4.05.04	01.09.063
01.048.15	1.4.05.05	01.09.064
01.048.16	1.4.05.06	01.09.065
01.049.01	1.4.06.01	01.09.066
01.049.02	1.4.06.02	01.09.067
01.049.03	1.4.06.03	01.09.068
01.049.04	1.4.06.04	01.09.069
01.050.01	1.4.07.01	01.09.070
01.050.02	1.4.07.02	01.09.071
01.050.03	1.4.07.03	01.09.072
01.050.04	1.4.07.04	01.09.073
01.050.05	1.4.07.05	01.09.074
01.050.06	1.4.08.01	01.09.075
01.050.07	1.4.08.02	01.09.076
01.050.08	1.4.08.03	01.09.077
01.050.09	1.4.08.04	01.09.078
01.050.10	1.4.08.05	01.09.079
01.050.11	1.4.08.06	01.09.080
01.050.12	1.4.08.07	01.09.081
01.050.13	1.4.08.08	01.09.082
01.051.01	1.4.09.00	/1.10.001
01.051.02	1.4.09.00	/1.10.002
01.051.03	1.4.09.00	/1.10.003
01.051.04	1.4.09.00	/1.10.004
01.051.05	1.4.09.00	/1.10.005
01.051.06	1.4.10.01	1.10.006
01.051.07	1.4.10.02	1.10.007
01.051.08	1.4.10.03	1.10.008
01.051.09	1.4.10.04	1.10.009
01.051.10	1.4.10.05	1.10.010
01.051.11	1.4.11.01	1.10.011
01.051.12	1.4.11.02	1.10.012
01.051.13	1.4.11.03	1.10.013
01.051.14	1.4.11.04	1.10.014
01.051.15	1.4.11.05	1.10.015
01.052.01	1.4.12.01	1.10.016
01.052.02	1.4.12.02	1.10.017
01.052.03	1.4.12.03	1.10.018
01.052.04	1.4.12.04	1.10.019
01.052.05	1.4.12.05	1.10.020
01.052.06	1.4.13.01	1.10.021
01.052.07	1.4.13.02	1.10.022
01.052.08	1.4.13.03	1.10.023
01.052.09	1.4.13.04	1.10.024
01.052.10	1.4.13.05	1.10.025
01.052.11	1.4.14.01	1.10.026
01.052.12	1.4.14.02	1.10.027
01.052.13	1.4.14.03	1.10.028
01.052.14	1.4.14.04	1.10.029
01.052.15	1.4.14.05	1.10.030
01.053.01	1.4.15.01	1.10.031
01.053.02	1.4.15.02	1.10.032
01.053.03	1.4.15.03	1.10.033
01.053.04	1.4.15.04	1.10.034
01.053.05	1.4.15.05	1.10.035
01.053.06	1.4.16.01	1.10.036
01.053.07	1.4.16.02	1.10.037
01.053.08	1.4.16.03	1.10.038
01.053.09	1.4.16.04	1.10.039
01.053.10	1.4.16.05	1.10.040
01.053.11	1.4.16.06	1.10.041
01.054.01	1.4.17.01	1.10.042
01.054.02	1.4.17.02	1.10.043
01.054.03	1.4.17.03	1.10.044
01.054.04	1.4.17.04	1.10.045
01.054.05	1.4.17.05	1.10.046
01.054.06	1.4.18.01	1.10.047
01.054.07	1.4.18.02	1.10.048
01.054.08	1.4.18.03	1.10.049
01.054.09	1.4.18.04	1.10.050
01.054.10	1.4.18.05	1.10.051
01.054.11	1.4.18.06	1.10.052
01.055.01	1.4.19.01	1.10.053
01.055.02	1.4.19.02	1.10.054
01.055.03	1.4.19.03	1.10.055
01.055.04	1.4.19.04	1.10.056
01.055.05	1.4.19.05	1.10.057
01.055.06	1.4.20.01	1.10.058
01.055.07	1.4.20.02	1.10.059
01.055.08	1.4.20.03	1.10.060
01.056.01	1.4.21.01	1.10.061
01.056.02	1.4.21.02	1.10.062
01.056.03	1.4.21.03	1.10.063
01.056.04	1.4.21.04	1.10.064
01.056.05	1.4.21.05	1.10.065
01.056.06	1.4.21.06	1.10.066
01.057.01	1.4.22.01	1.10.067
01.057.02	1.4.22.02	1.10.068
01.057.03	1.4.22.03	1.10.069
01.057.04	1.4.22.04	1.10.070
01.057.05	1.4.22.05	1.10.071
01.057.06	1.4.22.06	1.10.072
01.058.01	1.4.23.01	1.11.001
01.058.02	1.4.23.02	1.11.002
01.058.03	1.4.23.03	1.11.003
01.058.04	1.4.23.04	1.11.004
01.058.05	1.4.23.05	1.11.005
01.058.06	1.4.24.01	1.11.006
01.058.07	1.4.24.02	1.11.007
01.058.08	1.4.24.03	1.11.008
01.058.09	1.4.24.04	1.11.009
01.059.01	1.4.25.01	1.11.010
01.059.02	1.4.25.02	1.11.011
01.059.03	1.4.25.03	1.11.012
01.059.04	1.4.25.04	1.11.013
01.059.05	1.4.25.05	1.11.014
01.059.06	1.4.25.06	1.11.015
01.059.07	1.4.25.07	1.11.016
01.060.01	1.4.26.01	1.11.017
01.060.02	1.4.26.02	1.11.018
01.060.03	1.4.26.03	1.11.019
01.060.04	1.4.26.04	1.11.020
